"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US10001","ZCTA5 10001","12431","521","3838","413","2831","373","8593","513","8.8","2.5","6.0","4.9","0.7","0.7","10.1","3.0","3.9","1.4","2.7","2.1","0.1","0.2","4.5","1.8","7.5","1.8","7.3","3.7","4.8","4.1","7.6","2.6","4.2","1.3","3.8","2.7","4.1","3.4","4.3","1.6","7.7","1.9","7.4","3.9","8.5","5.1","8.0","2.4","11.2","2.3","6.6","3.3","6.6","4.0","13.2","2.9","11.0","1.9","13.5","4.6","12.0","4.9","10.2","2.1","15.6","2.7","13.8","3.6","14.2","4.0","16.2","3.4","7.6","1.5","9.3","3.0","12.3","4.0","6.9","2.1","22.5","2.7","29.5","5.7","36.6","6.4","19.1","3.1","88526","8060","113382","28724","149241","11805","81133","7857","151628","15107","196505","32056","N","N","131058","16096","22.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.1","(X)"
"8600000US10002","ZCTA5 10002","33540","614","16565","738","9655","634","16975","819","14.8","1.4","9.0","1.7","5.0","1.7","20.6","2.5","12.5","1.5","9.6","1.8","10.2","2.5","15.5","2.5","13.6","1.6","16.0","2.6","14.8","2.8","11.3","2.3","8.3","1.1","10.8","1.8","11.2","2.9","5.7","1.5","10.1","1.4","14.3","2.5","14.1","2.7","6.4","1.5","12.0","1.4","13.0","2.1","12.1","2.4","11.2","2.1","8.1","1.1","8.3","1.8","8.0","1.8","7.7","1.4","9.4","1.2","8.1","1.7","8.4","2.5","10.7","1.7","4.3","0.7","4.2","1.0","5.6","1.4","4.3","1.1","6.8","0.9","6.7","1.3","10.5","2.1","6.6","1.4","35859","2149","40487","2485","45328","5146","30095","6067","68315","3369","71841","4762","87686","8029","63731","4211","29.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.3","(X)"
"8600000US10003","ZCTA5 10003","26124","703","7946","551","6905","640","18178","836","4.7","1.0","1.4","1.0","0.4","0.6","6.1","1.3","2.4","0.8","1.7","1.1","0.5","0.4","2.8","1.1","4.7","1.1","0.9","1.1","0.3","0.5","6.3","1.5","5.6","1.4","2.7","1.3","2.1","1.5","6.7","1.8","7.2","1.6","7.1","2.8","6.8","2.7","7.2","1.8","12.7","1.9","8.3","3.2","7.5","3.5","14.7","2.3","9.2","1.4","8.0","3.2","6.9","2.9","9.7","1.6","13.2","1.9","12.1","2.7","12.9","3.1","13.8","2.4","11.1","1.7","11.6","3.0","12.3","3.4","11.0","2.0","29.2","2.3","46.2","4.5","50.3","4.7","21.6","2.7","112131","13190","181132","22849","201620","17162","91284","8594","189885","12283","306152","29625","N","N","138474","9493","28.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.8","(X)"
"8600000US10004","ZCTA5 10004","1659","238","709","183","641","175","950","190","2.9","1.9","1.0","1.1","0.5","0.8","4.3","3.1","0.0","1.9","0.0","4.5","0.0","4.9","0.0","3.4","0.7","1.2","0.0","4.5","0.0","4.9","1.2","2.0","1.1","1.8","2.7","4.3","3.0","4.8","0.0","3.4","4.2","3.5","1.6","2.6","1.7","2.8","6.1","5.7","5.1","3.1","5.1","6.1","3.3","5.3","6.6","4.3","6.6","4.8","1.8","2.0","1.4","2.1","10.6","8.3","25.4","8.5","15.0","11.4","16.5","12.4","31.7","11.1","15.1","5.2","12.0","6.4","13.3","7.4","17.4","7.3","38.9","8.8","60.9","13.0","60.4","13.7","22.1","10.7","157645","17195","201761","7665","201827","51830","128710","16216","218650","32298","305243","75258","N","N","152306","32132","27.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.2","(X)"
"8600000US10005","ZCTA5 10005","4374","337","1614","316","1425","320","2760","374","7.0","3.9","0.4","0.6","0.0","2.3","10.8","5.9","1.6","1.6","0.0","2.0","0.0","2.3","2.5","2.6","1.7","1.5","2.0","3.0","0.0","2.3","1.5","1.7","0.8","1.0","0.7","1.1","0.0","2.3","0.9","1.5","2.4","1.9","0.2","0.3","0.2","0.3","3.7","3.0","7.0","3.1","3.5","4.3","3.9","4.8","9.1","4.1","6.4","2.9","3.3","3.9","3.7","4.3","8.3","4.3","18.6","6.4","21.0","11.3","23.8","12.5","17.2","7.3","13.1","4.9","8.7","5.9","9.0","6.4","16.1","6.4","41.4","7.9","60.3","13.9","59.4","14.2","30.0","8.3","173333","33390","235700","30454","234148","32090","137065","29917","208186","23833","292722","50599","N","N","155458","21626","26.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.1","(X)"
"8600000US10006","ZCTA5 10006","1794","199","633","150","521","136","1161","203","4.1","3.3","2.7","3.9","1.2","3.5","4.9","4.8","1.4","1.8","0.0","5.0","0.0","6.0","2.2","2.8","1.9","2.1","0.0","5.0","0.0","6.0","2.9","3.3","0.0","1.8","0.0","5.0","0.0","6.0","0.0","2.8","0.8","1.3","0.0","5.0","0.0","6.0","1.3","2.0","6.4","3.9","2.7","4.5","3.3","5.4","8.4","5.1","10.4","4.8","0.0","5.0","0.0","6.0","16.0","7.2","17.4","7.7","24.5","14.2","21.3","14.5","16.0","9.1","16.6","6.1","19.3","12.5","18.2","13.6","15.1","6.6","41.0","9.5","50.9","17.1","56.0","18.4","33.2","11.2","176250","23813","200859","71653","239583","61106","133295","59559","214543","29839","263224","54021","N","N","186117","36366","20.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","11.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.3","(X)"
"8600000US10007","ZCTA5 10007","2731","292","1465","228","1380","223","1266","249","1.6","1.3","0.8","1.3","0.8","1.4","2.7","2.7","1.7","1.7","0.0","2.2","0.0","2.3","3.7","3.6","0.0","1.2","0.0","2.2","0.0","2.3","0.0","2.5","2.4","1.9","2.0","2.8","0.0","2.3","2.8","3.3","2.7","2.1","0.0","2.2","0.0","2.3","5.8","4.4","5.2","3.7","5.1","5.9","4.3","6.2","5.3","4.2","7.6","4.6","3.1","3.0","3.3","3.2","12.7","8.9","11.2","4.6","7.2","4.8","6.0","4.7","15.7","8.5","10.0","4.2","8.1","5.5","8.6","5.8","12.1","6.8","57.6","6.1","73.7","9.2","77.0","9.6","39.1","10.4","246813","48436","250,000+","***","250,000+","***","150893","23675","367343","34800","458884","57027","N","N","260941","56805","28.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.6","(X)"
"8600000US10009","ZCTA5 10009","29728","556","10476","697","6084","633","19252","827","12.5","1.9","8.6","2.6","2.3","2.3","14.6","2.4","8.2","1.4","7.5","2.2","5.3","2.4","9.0","1.9","8.7","1.6","8.1","2.2","4.9","2.1","8.8","2.3","6.2","1.1","8.4","2.4","6.9","3.0","5.2","1.4","8.3","1.4","11.1","2.8","8.0","3.8","7.0","1.8","11.2","1.7","10.8","2.9","10.9","4.0","11.3","2.2","8.7","1.6","6.4","2.5","5.8","2.9","9.8","2.2","16.4","2.2","12.9","2.8","15.5","3.9","18.2","2.8","6.3","1.4","6.9","2.6","9.6","4.2","5.9","1.5","13.5","1.9","19.5","4.0","31.0","6.4","10.2","2.0","61548","4133","62844","9312","116111","25955","60571","4883","95947","5060","116167","10870","N","N","84518","5442","22.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.8","(X)"
"8600000US10010","ZCTA5 10010","16390","823","5709","688","4842","629","10681","771","3.7","1.3","1.2","1.1","1.0","1.1","5.0","1.9","3.8","1.8","2.0","3.1","0.3","0.5","4.7","2.0","6.2","2.2","5.9","2.8","6.1","3.1","6.3","3.2","5.2","2.1","3.8","2.5","3.7","2.8","5.9","2.6","6.0","2.3","2.2","1.5","2.2","1.7","8.1","3.5","9.0","2.4","5.9","2.6","3.2","2.1","10.6","3.2","10.2","2.6","7.2","3.4","5.5","3.5","11.9","3.3","16.7","2.6","11.4","3.0","12.4","3.2","19.7","3.7","8.2","2.1","8.4","3.0","6.4","2.3","8.1","2.7","31.0","3.4","52.0","5.5","59.3","5.9","19.6","3.1","117923","10782","213813","37424","250,000+","***","93034","10417","188064","12471","281159","28800","N","N","137700","12608","28.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.5","(X)"
