zip_code,median_income
10001,88526.0
10002,35859.0
10003,112131.0
10004,157645.0
10005,173333.0
10006,176250.0
10007,246813.0
10009,61548.0
10010,117923.0
10011,128613.0
10012,109037.0
10013,105442.0
10014,126601.0
10016,117004.0
10017,127506.0
10018,108914.0
10019,98833.0
10020,
10021,118289.0
10022,135363.0
10023,130452.0
10024,131668.0
10025,85930.0
10026,58884.0
10027,46113.0
10028,125140.0
10029,34016.0
10030,37232.0
10031,49891.0
10032,50391.0
10033,58614.0
10034,54716.0
10035,30081.0
10036,91936.0
10037,45041.0
10038,86058.0
10039,39653.0
10040,47137.0
10044,100441.0
10065,127375.0
10075,137146.0
10280,169844.0
